Person,Top Matches
Person_8,"Person_78 (score: 1.0), Person_72 (score: 0.99), Person_21 (score: 0.75), Person_71 (score: 0.62), Person_11 (score: 0.5)"
Person_11,"Person_21 (score: 1.0), Person_71 (score: 0.86), Person_72 (score: 0.82), Person_20 (score: 0.67), Person_8 (score: 0.5)"
Person_20,"Person_71 (score: 1.0), Person_11 (score: 0.75), Person_72 (score: 0.68), Person_21 (score: 0.61), Person_70 (score: 0.5)"
Person_21,"Person_11 (score: 1.0), Person_78 (score: 0.94), Person_72 (score: 0.75), Person_8 (score: 0.75), Person_20 (score: 0.5)"
Person_70,"Person_72 (score: 1.0), Person_71 (score: 0.79), Person_11 (score: 0.63), Person_20 (score: 0.6), Person_21 (score: 0.5)"
Person_71,"Person_20 (score: 1.0), Person_11 (score: 0.88), Person_72 (score: 0.63), Person_70 (score: 0.62), Person_8 (score: 0.5)"
Person_72,"Person_8 (score: 1.0), Person_70 (score: 0.94), Person_11 (score: 0.77), Person_21 (score: 0.59), Person_78 (score: 0.5)"
Person_78,"Person_8 (score: 1.0), Person_21 (score: 0.97), Person_72 (score: 0.77), Person_11 (score: 0.56), Person_71 (score: 0.5)"
Person_2,"Person_94 (score: 1.0), Person_86 (score: 0.89), Person_36 (score: 0.83), Person_48 (score: 0.8), Person_5 (score: 0.5)"
Person_5,"Person_94 (score: 1.0), Person_48 (score: 0.96), Person_62 (score: 0.73), Person_86 (score: 0.7), Person_2 (score: 0.5)"
Person_36,"Person_86 (score: 1.0), Person_62 (score: 0.86), Person_2 (score: 0.84), Person_94 (score: 0.77), Person_5 (score: 0.5)"
Person_48,"Person_5 (score: 1.0), Person_2 (score: 0.85), Person_94 (score: 0.75), Person_62 (score: 0.71), Person_86 (score: 0.5)"
Person_62,"Person_86 (score: 1.0), Person_94 (score: 0.9), Person_36 (score: 0.8), Person_5 (score: 0.75), Person_2 (score: 0.5)"
Person_86,"Person_62 (score: 1.0), Person_36 (score: 0.95), Person_2 (score: 0.8), Person_5 (score: 0.7), Person_94 (score: 0.5)"
Person_94,"Person_5 (score: 1.0), Person_62 (score: 0.9), Person_2 (score: 0.9), Person_36 (score: 0.66), Person_48 (score: 0.5)"
Person_9,"Person_65 (score: 1.0), Person_90 (score: 0.82), Person_49 (score: 0.61), Person_38 (score: 0.52), Person_74 (score: 0.5)"
Person_38,"Person_74 (score: 1.0), Person_49 (score: 0.68), Person_65 (score: 0.65), Person_9 (score: 0.58), Person_90 (score: 0.5)"
Person_49,"Person_54 (score: 1.0), Person_97 (score: 0.95), Person_90 (score: 0.86), Person_74 (score: 0.68), Person_38 (score: 0.5)"
Person_54,"Person_49 (score: 1.0), Person_74 (score: 0.95), Person_97 (score: 0.93), Person_90 (score: 0.76), Person_65 (score: 0.5)"
Person_65,"Person_9 (score: 1.0), Person_74 (score: 0.89), Person_90 (score: 0.67), Person_97 (score: 0.59), Person_38 (score: 0.5)"
Person_74,"Person_38 (score: 1.0), Person_65 (score: 0.9), Person_54 (score: 0.76), Person_97 (score: 0.58), Person_49 (score: 0.5)"
Person_90,"Person_97 (score: 1.0), Person_9 (score: 0.78), Person_49 (score: 0.78), Person_65 (score: 0.7), Person_38 (score: 0.5)"
Person_97,"Person_90 (score: 1.0), Person_49 (score: 0.77), Person_54 (score: 0.7), Person_74 (score: 0.62), Person_65 (score: 0.5)"
Person_10,"Person_66 (score: 1.0), Person_81 (score: 0.91), Person_53 (score: 0.84), Person_30 (score: 0.72), Person_44 (score: 0.5)"
Person_30,"Person_44 (score: 1.0), Person_10 (score: 0.69), Person_81 (score: 0.61), Person_53 (score: 0.51), Person_66 (score: 0.5)"
Person_44,"Person_30 (score: 1.0), Person_81 (score: 0.84), Person_53 (score: 0.66), Person_10 (score: 0.63), Person_66 (score: 0.5)"
Person_53,"Person_10 (score: 1.0), Person_81 (score: 0.97), Person_44 (score: 0.61), Person_30 (score: 0.56), Person_66 (score: 0.5)"
Person_66,"Person_10 (score: 1.0), Person_30 (score: 0.75), Person_53 (score: 0.74), Person_44 (score: 0.68), Person_81 (score: 0.5)"
Person_81,"Person_10 (score: 1.0), Person_44 (score: 0.95), Person_53 (score: 0.94), Person_30 (score: 0.82), Person_66 (score: 0.5)"
Person_7,"Person_26 (score: 1.0), Person_13 (score: 0.99), Person_22 (score: 0.89), Person_91 (score: 0.68), Person_57 (score: 0.5)"
Person_13,"Person_22 (score: 1.0), Person_7 (score: 0.83), Person_26 (score: 0.65), Person_91 (score: 0.62), Person_57 (score: 0.5)"
Person_22,"Person_13 (score: 1.0), Person_91 (score: 0.87), Person_57 (score: 0.72), Person_7 (score: 0.7), Person_26 (score: 0.5)"
Person_26,"Person_7 (score: 1.0), Person_91 (score: 0.99), Person_57 (score: 0.78), Person_13 (score: 0.68), Person_22 (score: 0.5)"
Person_57,"Person_91 (score: 1.0), Person_22 (score: 0.86), Person_26 (score: 0.84), Person_13 (score: 0.73), Person_7 (score: 0.5)"
Person_91,"Person_57 (score: 1.0), Person_22 (score: 0.95), Person_26 (score: 0.92), Person_13 (score: 0.73), Person_7 (score: 0.5)"
Person_16,"Person_82 (score: 1.0), Person_43 (score: 0.85), Person_58 (score: 0.69), Person_95 (score: 0.6), Person_69 (score: 0.5)"
Person_43,"Person_82 (score: 1.0), Person_16 (score: 0.94), Person_95 (score: 0.82), Person_58 (score: 0.8), Person_69 (score: 0.5)"
Person_58,"Person_95 (score: 1.0), Person_69 (score: 0.75), Person_82 (score: 0.53), Person_43 (score: 0.5), Person_16 (score: 0.5)"
Person_69,"Person_58 (score: 1.0), Person_95 (score: 0.88), Person_16 (score: 0.7), Person_82 (score: 0.68), Person_43 (score: 0.5)"
Person_82,"Person_16 (score: 1.0), Person_43 (score: 0.92), Person_95 (score: 0.79), Person_58 (score: 0.71), Person_69 (score: 0.5)"
Person_95,"Person_58 (score: 1.0), Person_82 (score: 0.7), Person_69 (score: 0.66), Person_43 (score: 0.64), Person_16 (score: 0.5)"
Person_1,"Person_88 (score: 1.0), Person_87 (score: 0.63), Person_55 (score: 0.5)"
Person_55,"Person_87 (score: 1.0), Person_88 (score: 0.69), Person_1 (score: 0.5)"
Person_87,"Person_88 (score: 1.0), Person_55 (score: 0.96), Person_1 (score: 0.5)"
Person_88,"Person_1 (score: 1.0), Person_87 (score: 0.96), Person_55 (score: 0.5)"
Person_14,"Person_59 (score: 1.0), Person_98 (score: 0.99), Person_51 (score: 0.87), Person_61 (score: 0.78), Person_40 (score: 0.5)"
Person_40,"Person_51 (score: 1.0), Person_98 (score: 0.93), Person_61 (score: 0.63), Person_59 (score: 0.55), Person_14 (score: 0.5)"
Person_51,"Person_98 (score: 1.0), Person_40 (score: 1.0), Person_61 (score: 0.8), Person_14 (score: 0.73), Person_59 (score: 0.5)"
Person_59,"Person_14 (score: 1.0), Person_61 (score: 0.91), Person_98 (score: 0.85), Person_51 (score: 0.78), Person_40 (score: 0.5)"
Person_61,"Person_98 (score: 1.0), Person_59 (score: 0.89), Person_51 (score: 0.89), Person_14 (score: 0.73), Person_40 (score: 0.5)"
